recibido,marca_cliente,alumno,sesion,ejercicio,evento,intento,detalle
2026-10-10T15:38:44+00:00,2026-10-10T15:38:44+00:00,A18,S1,ej1,correcto,1,
2026-10-10T15:39:38+00:00,2026-10-10T15:39:38+00:00,A01,S1,ej1,incorrecto,1,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:39:38+00:00,2026-10-10T15:39:38+00:00,A22,S1,ej1,correcto,1,
2026-10-10T15:40:13+00:00,2026-10-10T15:40:13+00:00,A12,S1,ej1,incorrecto,2,"`x` vale 77.1, pero no es el valor esperado."
2026-10-10T15:40:52+00:00,2026-10-10T15:40:52+00:00,A10,S1,ej1,correcto,2,
2026-10-10T15:40:53+00:00,2026-10-10T15:40:53+00:00,A12,S1,ej1,pista,2,
2026-10-10T15:41:57+00:00,2026-10-10T15:41:57+00:00,A01,S1,ej1,correcto,2,
2026-10-10T15:42:53+00:00,2026-10-10T15:42:53+00:00,A21,S1,ej1,correcto,1,
2026-10-10T15:43:31+00:00,2026-10-10T15:43:31+00:00,A03,S1,ej1,correcto,1,
2026-10-10T15:43:35+00:00,2026-10-10T15:43:35+00:00,A12,S1,ej1,correcto,3,
2026-10-10T15:44:16+00:00,2026-10-10T15:44:16+00:00,A07,S1,ej1,correcto,1,
2026-10-10T15:45:02+00:00,2026-10-10T15:45:02+00:00,A23,S1,ej2a,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:45:51+00:00,2026-10-10T15:45:51+00:00,A09,S1,ej2b,correcto,1,
2026-10-10T15:46:58+00:00,2026-10-10T15:46:58+00:00,A02,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:47:17+00:00,2026-10-10T15:47:17+00:00,A17,S1,ej2a,correcto,1,
2026-10-10T15:48:27+00:00,2026-10-10T15:48:27+00:00,A23,S1,ej2a,incorrecto,2,"`moles_hcn` vale 369.959, pero no es el valor esperado. Tu resultado difiere por un factor de 1000: revisa las conversiones de unidades."
2026-10-10T15:49:11+00:00,2026-10-10T15:49:11+00:00,A02,S1,ej2a,correcto,2,
2026-10-10T15:49:45+00:00,2026-10-10T15:49:45+00:00,A05,S1,ej2a,incorrecto,1,"`moles_hcn` vale 369.959, pero no es el valor esperado. Tu resultado difiere por un factor de 1000: revisa las conversiones de unidades."
2026-10-10T15:49:45+00:00,2026-10-10T15:49:45+00:00,A08,S1,ej2a,correcto,1,
2026-10-10T15:50:38+00:00,2026-10-10T15:50:38+00:00,A04,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:51:43+00:00,2026-10-10T15:51:43+00:00,A23,S1,ej2a,correcto,3,
2026-10-10T15:52:41+00:00,2026-10-10T15:52:41+00:00,A19,S1,ej2a,correcto,1,
2026-10-10T15:53:04+00:00,2026-10-10T15:53:04+00:00,A05,S1,ej2a,correcto,2,
2026-10-10T15:53:16+00:00,2026-10-10T15:53:16+00:00,A15,S1,ej2b,correcto,1,
2026-10-10T15:53:52+00:00,2026-10-10T15:53:52+00:00,A07,S1,ej2a,correcto,1,
2026-10-10T15:54:17+00:00,2026-10-10T15:54:17+00:00,A23,S1,ej2b,correcto,1,
2026-10-10T15:54:50+00:00,2026-10-10T15:54:50+00:00,A04,S1,ej2a,correcto,2,
2026-10-10T15:55:17+00:00,2026-10-10T15:55:17+00:00,A11,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:56:08+00:00,2026-10-10T15:56:08+00:00,A16,S1,ej2a,correcto,1,
2026-10-10T15:57:02+00:00,2026-10-10T15:57:02+00:00,A22,S1,ej2a,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T15:57:13+00:00,2026-10-10T15:57:13+00:00,A03,S1,ej2a,correcto,1,
2026-10-10T15:57:34+00:00,2026-10-10T15:57:34+00:00,A10,S1,ej2a,incorrecto,1,"`moles_hcn` vale 369.959, pero no es el valor esperado. Tu resultado difiere por un factor de 1000: revisa las conversiones de unidades."
2026-10-10T15:57:37+00:00,2026-10-10T15:57:37+00:00,A02,S1,ej2b,correcto,1,
2026-10-10T15:57:51+00:00,2026-10-10T15:57:51+00:00,A07,S1,ej2b,correcto,1,
2026-10-10T15:58:30+00:00,2026-10-10T15:58:30+00:00,A20,S1,ej2a,incorrecto,1,"`moles_hcn` vale 369.959, pero no es el valor esperado. Tu resultado difiere por un factor de 1000: revisa las conversiones de unidades."
2026-10-10T15:59:18+00:00,2026-10-10T15:59:18+00:00,A24,S1,ej2a,correcto,1,
2026-10-10T15:59:19+00:00,2026-10-10T15:59:19+00:00,A22,S1,ej2a,incorrecto,2,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:59:22+00:00,2026-10-10T15:59:22+00:00,A06,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T15:59:40+00:00,2026-10-10T15:59:40+00:00,A11,S1,ej2a,correcto,2,
2026-10-10T16:00:20+00:00,2026-10-10T16:00:20+00:00,A10,S1,ej2a,correcto,2,
2026-10-10T16:00:34+00:00,2026-10-10T16:00:34+00:00,A22,S1,ej2a,correcto,3,
2026-10-10T16:00:43+00:00,2026-10-10T16:00:43+00:00,A24,S1,ej2b,correcto,1,
2026-10-10T16:00:58+00:00,2026-10-10T16:00:58+00:00,A06,S1,ej2a,correcto,2,
2026-10-10T16:01:51+00:00,2026-10-10T16:01:51+00:00,A13,S1,ej2a,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:02:41+00:00,2026-10-10T16:02:41+00:00,A08,S1,ej2b,correcto,1,
2026-10-10T16:02:51+00:00,2026-10-10T16:02:51+00:00,A14,S1,ej2a,correcto,1,
2026-10-10T16:02:54+00:00,2026-10-10T16:02:54+00:00,A19,S1,ej2b,correcto,1,
2026-10-10T16:03:11+00:00,2026-10-10T16:03:11+00:00,A20,S1,ej2a,correcto,2,
2026-10-10T16:04:36+00:00,2026-10-10T16:04:36+00:00,A10,S1,ej2b,incorrecto,1,"`moleculas_hcn` vale 6.022e+23, pero no es el valor esperado."
2026-10-10T16:05:17+00:00,2026-10-10T16:05:17+00:00,A18,S1,ej2a,correcto,1,
2026-10-10T16:06:06+00:00,2026-10-10T16:06:06+00:00,A21,S1,ej2a,incorrecto,1,"`masa_molar_hcn` vale 26.0, pero no es el valor esperado."
2026-10-10T16:06:11+00:00,2026-10-10T16:06:11+00:00,A05,S1,ej2b,incorrecto,1,"`moleculas_hcn` vale 6.022e+23, pero no es el valor esperado."
2026-10-10T16:06:33+00:00,2026-10-10T16:06:33+00:00,A16,S1,ej2b,correcto,1,
2026-10-10T16:06:39+00:00,2026-10-10T16:06:39+00:00,A13,S1,ej2a,correcto,2,
2026-10-10T16:07:33+00:00,2026-10-10T16:07:33+00:00,A20,S1,ej2b,correcto,1,
2026-10-10T16:07:42+00:00,2026-10-10T16:07:42+00:00,A12,S1,ej2a,correcto,1,
2026-10-10T16:07:47+00:00,2026-10-10T16:07:47+00:00,A10,S1,ej2b,correcto,2,
2026-10-10T16:08:17+00:00,2026-10-10T16:08:17+00:00,A03,S1,ej2b,correcto,1,
2026-10-10T16:08:52+00:00,2026-10-10T16:08:52+00:00,A05,S1,ej2b,correcto,2,
2026-10-10T16:08:54+00:00,2026-10-10T16:08:54+00:00,A21,S1,ej2a,correcto,2,
2026-10-10T16:08:56+00:00,2026-10-10T16:08:56+00:00,A01,S1,ej2a,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:09:39+00:00,2026-10-10T16:09:39+00:00,A06,S1,ej2b,correcto,1,
2026-10-10T16:09:45+00:00,2026-10-10T16:09:45+00:00,A22,S1,ej2b,correcto,1,
2026-10-10T16:09:49+00:00,2026-10-10T16:09:49+00:00,A11,S1,ej2b,correcto,1,
2026-10-10T16:09:51+00:00,2026-10-10T16:09:51+00:00,A17,S1,ej2b,correcto,1,
2026-10-10T16:10:20+00:00,2026-10-10T16:10:20+00:00,A18,S1,ej2b,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:11:21+00:00,2026-10-10T16:11:21+00:00,A13,S1,ej2b,correcto,1,
2026-10-10T16:11:37+00:00,2026-10-10T16:11:37+00:00,A04,S1,ej2b,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:11:55+00:00,2026-10-10T16:11:55+00:00,A21,S1,ej2b,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:12:32+00:00,2026-10-10T16:12:32+00:00,A18,S1,ej2b,correcto,2,
2026-10-10T16:13:12+00:00,2026-10-10T16:13:12+00:00,A21,S1,ej2b,correcto,2,
2026-10-10T16:13:23+00:00,2026-10-10T16:13:23+00:00,A01,S1,ej2a,correcto,2,
2026-10-10T16:16:00+00:00,2026-10-10T16:16:00+00:00,A04,S1,ej2b,incorrecto,2,"`moleculas_hcn` vale 6.022e+23, pero no es el valor esperado."
2026-10-10T16:16:12+00:00,2026-10-10T16:16:12+00:00,A01,S1,ej2b,correcto,1,
2026-10-10T16:17:18+00:00,2026-10-10T16:17:18+00:00,A04,S1,ej2b,correcto,3,
2026-10-10T16:18:58+00:00,2026-10-10T16:18:58+00:00,A12,S1,ej2b,correcto,1,
2026-10-10T16:22:10+00:00,2026-10-10T16:22:10+00:00,A14,S1,ej2b,incorrecto,1,"`moleculas_hcn` vale 6.022e+23, pero no es el valor esperado."
2026-10-10T16:24:07+00:00,2026-10-10T16:24:07+00:00,A14,S1,ej2b,correcto,2,
2026-10-10T16:36:55+00:00,2026-10-10T16:36:55+00:00,A23,S1,ej3,incorrecto,1,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T16:40:00+00:00,2026-10-10T16:40:00+00:00,A04,S1,ej3,incorrecto,1,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T16:40:20+00:00,2026-10-10T16:40:20+00:00,A02,S1,ej3,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:40:50+00:00,2026-10-10T16:40:50+00:00,A15,S1,ej3,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T16:41:39+00:00,2026-10-10T16:41:39+00:00,A23,S1,ej3,correcto,2,
2026-10-10T16:44:10+00:00,2026-10-10T16:44:10+00:00,A04,S1,ej3,incorrecto,2,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T16:44:17+00:00,2026-10-10T16:44:17+00:00,A15,S1,ej3,incorrecto,2,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T16:44:50+00:00,2026-10-10T16:44:50+00:00,A04,S1,ej3,pista,2,
2026-10-10T16:44:56+00:00,2026-10-10T16:44:56+00:00,A02,S1,ej3,incorrecto,2,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T16:45:44+00:00,2026-10-10T16:45:44+00:00,A09,S1,ej3,correcto,1,
2026-10-10T16:46:51+00:00,2026-10-10T16:46:51+00:00,A04,S1,ej3,correcto,3,
2026-10-10T16:47:22+00:00,2026-10-10T16:47:22+00:00,A15,S1,ej3,correcto,3,
2026-10-10T16:47:29+00:00,2026-10-10T16:47:29+00:00,A02,S1,ej3,correcto,3,
2026-10-10T16:53:05+00:00,2026-10-10T16:53:05+00:00,A17,S1,ej3,correcto,1,
2026-10-10T16:55:25+00:00,2026-10-10T16:55:25+00:00,A07,S1,ej3,incorrecto,1,"`clasificar_enlace(0.5)` devolvió 'covalente no polar', pero se esperaba 'covalente polar'."
2026-10-10T16:56:54+00:00,2026-10-10T16:56:54+00:00,A05,S1,ej3,incorrecto,1,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T16:57:37+00:00,2026-10-10T16:57:37+00:00,A24,S1,ej3,incorrecto,1,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T16:58:14+00:00,2026-10-10T16:58:14+00:00,A07,S1,ej3,incorrecto,2,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T16:58:54+00:00,2026-10-10T16:58:54+00:00,A07,S1,ej3,pista,2,
2026-10-10T16:59:10+00:00,2026-10-10T16:59:10+00:00,A08,S1,ej3,correcto,1,
2026-10-10T17:00:02+00:00,2026-10-10T17:00:02+00:00,A10,S1,ej3,incorrecto,1,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T17:00:22+00:00,2026-10-10T17:00:22+00:00,A05,S1,ej3,incorrecto,2,"`clasificar_enlace(0.5)` devolvió 'covalente no polar', pero se esperaba 'covalente polar'."
2026-10-10T17:00:35+00:00,2026-10-10T17:00:35+00:00,A07,S1,ej3,incorrecto,3,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T17:01:06+00:00,2026-10-10T17:01:06+00:00,A24,S1,ej3,incorrecto,2,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:01:46+00:00,2026-10-10T17:01:46+00:00,A24,S1,ej3,pista,2,
2026-10-10T17:03:15+00:00,2026-10-10T17:03:15+00:00,A07,S1,ej3,incorrecto,4,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T17:03:51+00:00,2026-10-10T17:03:51+00:00,A10,S1,ej3,correcto,2,
2026-10-10T17:04:08+00:00,2026-10-10T17:04:08+00:00,A23,S1,ej4,incorrecto,1,"`n_agua` vale 0.555093, pero no es el valor esperado."
2026-10-10T17:05:14+00:00,2026-10-10T17:05:14+00:00,A05,S1,ej3,incorrecto,3,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:05:28+00:00,2026-10-10T17:05:28+00:00,A24,S1,ej3,correcto,3,
2026-10-10T17:06:06+00:00,2026-10-10T17:06:06+00:00,A23,S1,ej4,incorrecto,2,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:06:24+00:00,2026-10-10T17:06:24+00:00,A18,S1,ej3,correcto,1,
2026-10-10T17:07:21+00:00,2026-10-10T17:07:21+00:00,A07,S1,ej3,incorrecto,5,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:07:28+00:00,2026-10-10T17:07:28+00:00,A06,S1,ej3,incorrecto,1,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:08:11+00:00,2026-10-10T17:08:11+00:00,A07,S1,ej3,solucion,5,
2026-10-10T17:08:18+00:00,2026-10-10T17:08:18+00:00,A20,S1,ej3,correcto,1,
2026-10-10T17:08:32+00:00,2026-10-10T17:08:32+00:00,A11,S1,ej3,pendiente,1,Sustituye `____` por tu respuesta.
2026-10-10T17:08:46+00:00,2026-10-10T17:08:46+00:00,A05,S1,ej3,incorrecto,4,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T17:09:02+00:00,2026-10-10T17:09:02+00:00,A07,S1,ej3,correcto,6,
2026-10-10T17:09:05+00:00,2026-10-10T17:09:05+00:00,A13,S1,ej3,correcto,1,
2026-10-10T17:09:07+00:00,2026-10-10T17:09:07+00:00,A23,S1,ej4,incorrecto,3,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:09:32+00:00,2026-10-10T17:09:32+00:00,A02,S1,ej4,correcto,1,
2026-10-10T17:10:35+00:00,2026-10-10T17:10:35+00:00,A09,S1,ej4,correcto,1,
2026-10-10T17:10:55+00:00,2026-10-10T17:10:55+00:00,A05,S1,ej3,correcto,5,
2026-10-10T17:11:04+00:00,2026-10-10T17:11:04+00:00,A15,S1,ej4,incorrecto,1,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:11:24+00:00,2026-10-10T17:11:24+00:00,A03,S1,ej3,correcto,1,
2026-10-10T17:11:32+00:00,2026-10-10T17:11:32+00:00,A11,S1,ej3,incorrecto,2,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:12:04+00:00,2026-10-10T17:12:04+00:00,A06,S1,ej3,correcto,2,
2026-10-10T17:12:55+00:00,2026-10-10T17:12:55+00:00,A23,S1,ej4,incorrecto,4,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:13:09+00:00,2026-10-10T17:13:09+00:00,A19,S1,ej3,incorrecto,1,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:13:45+00:00,2026-10-10T17:13:45+00:00,A23,S1,ej4,solucion,4,
2026-10-10T17:13:46+00:00,2026-10-10T17:13:46+00:00,A15,S1,ej4,incorrecto,2,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:14:02+00:00,2026-10-10T17:14:02+00:00,A11,S1,ej3,incorrecto,3,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:14:26+00:00,2026-10-10T17:14:26+00:00,A15,S1,ej4,pista,2,
2026-10-10T17:15:04+00:00,2026-10-10T17:15:04+00:00,A19,S1,ej3,correcto,2,
2026-10-10T17:16:21+00:00,2026-10-10T17:16:21+00:00,A23,S1,ej4,correcto,5,
2026-10-10T17:16:25+00:00,2026-10-10T17:16:25+00:00,A01,S1,ej3,correcto,1,
2026-10-10T17:16:59+00:00,2026-10-10T17:16:59+00:00,A11,S1,ej3,incorrecto,4,"`clasificar_enlace(1.7)` devolvió 'covalente polar', pero se esperaba 'iónico'."
2026-10-10T17:17:04+00:00,2026-10-10T17:17:04+00:00,A04,S1,ej4,incorrecto,1,"`n_agua` vale 0.555093, pero no es el valor esperado."
2026-10-10T17:18:09+00:00,2026-10-10T17:18:09+00:00,A15,S1,ej4,incorrecto,3,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:18:14+00:00,2026-10-10T17:18:14+00:00,A14,S1,ej3,incorrecto,1,"`clasificar_enlace(0.5)` devolvió 'covalente no polar', pero se esperaba 'covalente polar'."
2026-10-10T17:18:54+00:00,2026-10-10T17:18:54+00:00,A16,S1,ej3,correcto,1,
2026-10-10T17:19:19+00:00,2026-10-10T17:19:19+00:00,A15,S1,ej4,correcto,4,
2026-10-10T17:19:52+00:00,2026-10-10T17:19:52+00:00,A11,S1,ej3,correcto,5,
2026-10-10T17:20:09+00:00,2026-10-10T17:20:09+00:00,A04,S1,ej4,correcto,2,
2026-10-10T17:20:58+00:00,2026-10-10T17:20:58+00:00,A14,S1,ej3,incorrecto,2,`clasificar_enlace(0)` devolvió `None`. ¿Olvidaste usar `return`?
2026-10-10T17:21:38+00:00,2026-10-10T17:21:38+00:00,A24,S1,ej4,incorrecto,1,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:21:58+00:00,2026-10-10T17:21:58+00:00,A08,S1,ej4,incorrecto,1,"`n_agua` vale 0.555093, pero no es el valor esperado."
2026-10-10T17:22:20+00:00,2026-10-10T17:22:20+00:00,A17,S1,ej4,correcto,1,
2026-10-10T17:22:50+00:00,2026-10-10T17:22:50+00:00,A23,S1,auto1,correcto,1,
2026-10-10T17:23:06+00:00,2026-10-10T17:23:06+00:00,A08,S1,ej4,incorrecto,2,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:23:36+00:00,2026-10-10T17:23:36+00:00,A07,S1,ej4,incorrecto,1,"`n_agua` vale 0.555093, pero no es el valor esperado."
2026-10-10T17:23:46+00:00,2026-10-10T17:23:46+00:00,A08,S1,ej4,pista,2,
2026-10-10T17:23:59+00:00,2026-10-10T17:23:59+00:00,A05,S1,ej4,incorrecto,1,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:24:14+00:00,2026-10-10T17:24:14+00:00,A14,S1,ej3,correcto,3,
2026-10-10T17:24:44+00:00,2026-10-10T17:24:44+00:00,A12,S1,ej3,incorrecto,1,"`clasificar_enlace(0.5)` devolvió 'covalente no polar', pero se esperaba 'covalente polar'."
2026-10-10T17:25:40+00:00,2026-10-10T17:25:40+00:00,A24,S1,ej4,correcto,2,
2026-10-10T17:26:20+00:00,2026-10-10T17:26:20+00:00,A05,S1,ej4,correcto,2,
2026-10-10T17:26:38+00:00,2026-10-10T17:26:38+00:00,A08,S1,ej4,incorrecto,3,"`calcular_temperatura(1, 22.4, 1)` devolvió `None`. ¿Olvidaste usar `return`?"
2026-10-10T17:27:33+00:00,2026-10-10T17:27:33+00:00,A20,S1,ej4,correcto,1,
2026-10-10T17:27:41+00:00,2026-10-10T17:27:41+00:00,A12,S1,ej3,correcto,2,
2026-10-10T17:27:48+00:00,2026-10-10T17:27:48+00:00,A08,S1,ej4,correcto,4,
2026-10-10T17:28:06+00:00,2026-10-10T17:28:06+00:00,A07,S1,ej4,correcto,2,
2026-10-10T17:28:48+00:00,2026-10-10T17:28:48+00:00,A02,S1,auto1,correcto,1,
2026-10-10T17:31:42+00:00,2026-10-10T17:31:42+00:00,A10,S1,ej4,correcto,1,
